filename,garment_type,pattern,sleeve,silhouette,season
jewelry2.jpeg,other,none,sleeveless,none,none
jewelry3.jpeg,other,none,sleeveless,none,none
jewelry4.jpeg,other,none,sleeveless,none,none
jewelry5.jpeg,other,none,sleeveless,none,none
table.jpeg,other,none,sleeveless,none,none
table2.jpeg,other,none,sleeveless,none,none
table3.jpeg,other,none,sleeveless,none,none
table4.jpeg,other,none,sleeveless,none,none
table5.jpeg,other,none,sleeveless,none,none
umbrella.jpeg,other,none,sleeveless,none,none
umbrella2.jpeg,other,none,sleeveless,none,none
umbrella3.jpeg,other,none,sleeveless,none,none
umbrella4.jpeg,other,none,sleeveless,none,none
umbrella5.jpeg,other,none,sleeveless,none,none
watch.jpeg,other,none,sleeveless,none,none
watch2.jpeg,other,none,sleeveless,none,none
watch3.jpeg,other,none,sleeveless,none,none
watch4.jpeg,other,none,sleeveless,none,none
watch5.jpeg,other,none,sleeveless,none,none
